Data,Comércio - farmácias e perfumarias - faturamento - índice (média 1998 = 100) - RMSP - INATIVA - - - Federação do Comércio do Estado de São Paulo- Pesquisa Conjuntural do Comércio Varejista  da Região Metropolitana de São Paulo (Fecomercio SP) - FCESP12_FARM12,Comércio - farmácias e perfumarias - faturamento real - índice (média 1998 = 100) - RMSP - INATIVA - - - Federação do Comércio do Estado de São Paulo- Pesquisa Conjuntural do Comércio Varejista  da Região Metropolitana de São Paulo (Fecomercio SP) - FCESP12_FARMR12,
1979.01,,,
1979.02,4.22106425544597E-10,,
1979.03,3.9673787424717E-10,,
1979.04,5.1813960048587E-10,,
1979.05,4.42439461145856E-10,,
1979.06,4.74294953831883E-10,,
1979.07,4.68081799338442E-10,,
1979.08,5.41195976253013E-10,,
1979.09,5.97101613648751E-10,,
1979.10,5.5476715355385E-10,,
1979.11,6.22836936069878E-10,,
1979.12,6.01411497214171E-10,,
1980.01,8.29045767393578E-10,,
1980.02,6.82138757840823E-10,,
1980.03,6.72452416407912E-10,,
1980.04,7.46018761419968E-10,,
1980.05,7.77649865082251E-10,,
1980.06,8.47716225616751E-10,,
1980.07,8.49665988659043E-10,,
1980.08,9.62246643369342E-10,,
1980.09,9.11824976855354E-10,,
1980.10,1.03145645127075E-09,,
1980.11,1.11129116016195E-09,,
1980.12,1.17907989138997E-09,,
1981.01,1.35028209783807E-09,,
1981.02,1.20863757590047E-09,,
1981.03,1.24525931745416E-09,,
1981.04,1.36816622589243E-09,,
1981.05,1.48897550053606E-09,,
1981.06,1.54913000059724E-09,,
1981.07,1.64579582344071E-09,,
1981.08,1.88525894665241E-09,,
1981.09,1.95482519409658E-09,,
1981.10,1.86763988822179E-09,,
1981.11,2.0480539905339E-09,,
1981.12,2.11379658444108E-09,,
1982.01,2.87645419554909E-09,,
1982.02,2.34862486358031E-09,,
1982.03,2.38479395274366E-09,,
1982.04,2.94307400525126E-09,,
1982.05,2.85978515827296E-09,,
1982.06,3.22812539083311E-09,,
1982.07,3.14742218341835E-09,,
1982.08,3.4961566268175E-09,,
1982.09,3.49475815047743E-09,,
1982.10,3.45351996797983E-09,,
1982.11,3.92388924391285E-09,,
1982.12,3.96312810406578E-09,,
1983.01,5.55432362079132E-09,,
1983.02,4.44956896132034E-09,,
1983.03,4.28137502066901E-09,,
1983.04,5.70065141608711E-09,,
1983.05,5.69495145059115E-09,,
1983.06,6.91082339318951E-09,,
1983.07,7.17205225170442E-09,,
1983.08,7.51846241225189E-09,,
1983.09,8.58533261726002E-09,,
1983.10,8.86950694847784E-09,,
1983.11,9.5364933128397E-09,,
1983.12,9.89220512486063E-09,,
1984.01,1.34435073721503E-08,,
1984.02,1.21623409679684E-08,,
1984.03,1.26609963368004E-08,,
1984.04,1.56337981747859E-08,,
1984.05,1.66906443248088E-08,,
1984.06,1.8414706071146E-08,,
1984.07,2.09966588745945E-08,,
1984.08,2.46592280515044E-08,,
1984.09,2.46991370115405E-08,,
1984.10,2.70398039748945E-08,,
1984.11,3.14972152518792E-08,,
1984.12,3.03529298650935E-08,,
1985.01,3.45802316511067E-08,,
1985.02,3.83819425244691E-08,,
1985.03,4.06740841507063E-08,,
1985.04,5.17615958834235E-08,,
1985.05,5.27231754940981E-08,,
1985.06,6.47129183621732E-08,,
1985.07,6.61740468620007E-08,,
1985.08,7.52820317205882E-08,,
1985.09,8.49629561764646E-08,,
1985.10,8.70304456465051E-08,,
1985.11,1.08434135394298E-07,,
1985.12,1.22289263767346E-07,,
1986.01,1.47273793752364E-07,,
1986.02,1.48450899343207E-07,,
1986.03,1.5465070688694E-07,,
1986.04,1.69322791140499E-07,,
1986.05,1.86100402032243E-07,,
1986.06,2.29336578459194E-07,,
1986.07,2.32834383457465E-07,,
1986.08,2.48363505282691E-07,,
1986.09,2.52628051126579E-07,,
1986.10,2.58748627390321E-07,,
1986.11,2.69640830593909E-07,,
1986.12,2.61395588922568E-07,,
1987.01,2.89790122740899E-07,,
1987.02,2.95078874041971E-07,,
1987.03,2.87159368230543E-07,,
1987.04,3.30167757996495E-07,,
1987.05,4.12864634766825E-07,,
1987.06,4.95499870419451E-07,,
1987.07,5.60241459403048E-07,,
1987.08,6.13789825693401E-07,,
1987.09,6.53168242743199E-07,,
1987.10,6.60560551224836E-07,,
1987.11,7.67453056377722E-07,,
1987.12,8.53915696738378E-07,,
1988.01,1.1575389373877E-06,,
1988.02,1.08691741338666E-06,,
1988.03,1.36824561811908E-06,,
1988.04,1.74494586604476E-06,,
1988.05,1.78700642527425E-06,,
1988.06,2.14791619272571E-06,,
1988.07,2.72456496511478E-06,,
1988.08,2.87191175084083E-06,,
1988.09,3.61183851169709E-06,,
1988.10,4.10586118929979E-06,,
1988.11,5.19640478661812E-06,,
1988.12,6.7622735240809E-06,,
1989.01,1.00302012761193E-05,,
1989.02,1.05518079212584E-05,,
1989.03,1.2047192368787E-05,,
1989.04,1.52165933734599E-05,,
1989.05,1.63448827691289E-05,,
1989.06,1.85004186511599E-05,,
1989.07,2.29689954232961E-05,,
1989.08,3.04221271804992E-05,,
1989.09,4.38903410649572E-05,,
1989.10,5.82754790360754E-05,,
1989.11,8.86719673433361E-05,,
1989.12,0.000131658991802817,,
1990.01,0.000230976016128761,62.2316677031775,
1990.02,0.000370661329939441,56.8297733204312,
1990.03,0.000608464930440991,51.1485319218447,
1990.04,0.00077245806350185,56.2102286058628,
1990.05,0.000903118637263535,61.08201252729,
1990.06,0.000945065849966582,57.1982934345142,
1990.07,0.00106073721508536,56.8535958201088,
1990.08,0.00120086769751126,57.020141900683,
1990.09,0.00123095778719867,51.08722412138,
1990.10,0.00158548362378795,57.5382646329975,
1990.11,0.00174235615024633,54.1317300626568,
1990.12,0.0024082319041772,63.1705825148955,
1991.01,0.00255614064689046,55.5282751037057,
1991.02,0.00253975659211974,45.7027471721931,
1991.03,0.0028636410303116,46.0427319633406,
1991.04,0.00327458529151781,50.147683871488,
1991.05,0.00336839128650958,48.0166140683846,
1991.06,0.00340166975079782,43.6109366993251,
1991.07,0.0041856421682303,47.7375819047241,
1991.08,0.0047194370992995,46.5498188688089,
1991.09,0.00490390965433513,41.8311426751782,
1991.10,0.00645375532859617,45.7885527746175,
1991.11,0.00751604414227494,42.5887336735078,
1991.12,0.0103731474915561,47.5128575727878,
1992.01,0.0128299097657497,46.6616950430791,
1992.02,0.0160833413988888,47.0513607940605,
1992.03,0.0195260225542842,47.0533996985392,
1992.04,0.0250750038436612,50.3837392227068,
